name,rank,total,comps,details
Julia Jakobsen,1,165,3,"iF3 Worlds '24 (4.pl; 75pts), GTD'24 (5.pl; 48pts), iF3 Euros '24 (2.pl; 42pts)"
Vivien-Marie Christian,2,81,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), DBVfF DM'24 (2.pl; 16pts), BtB '24 FF (1.pl; 15pts)"
Sarah Antonia Ziemens,3,76,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), Czech TD (2.pl; 13pts), CF Semis '24 MMFF (23.pl; 13pts)"
Franziska Höger,4,50,1,CF Semis '24 (21.pl; 50pts)
Lidia Barto,5,48,3,"Liege (1.pl; 20pts), GTD'24 (9.pl; 16pts), DBVfF DM'24 (3.pl; 12pts)"
Jana Geertz,6,32,1,GTD'24 (7.pl; 32pts)
Susan Treppner,7,32,3,"BtB '24 FF (1.pl; 15pts), CF Semis '24 MMFF (24.pl; 11pts), Amsterdam (3.pl; 6pts)"
Diana Vetter,8,30,1,CISM Euro'24 (1.pl; 30pts)
Caroline Müller-Korn,9,26,2,"Marbella (8.pl; 18pts), DBVfF DM'24 (4.pl; 8pts)"
Klaudia Dabrowska,10,20,1,Lions '24 (1.pl; 20pts)
Anna Hartje,11,16,2,"CISM Euro'24 (3.pl; 10pts), Lions '24 (3.pl; 6pts)"
Judith Melcher,12,15,1,BtB '24 MF (1.pl; 15pts)
Pia Zeller,13,13,1,Lions '24 (2.pl; 13pts)
Katharina Isele,14,5,1,CF Semis '24 (39.pl; 5pts)
Verena Evelyn Reimers,15,4,1,DBVfF DM'24 (5.pl; 4pts)
